comuna,indicador,dep_tot,dep_pub,dep_sub,dep_pag,area_tot,area_urb,area_rur,gse_tot,gse_bajo,gse_medio_bajo,gse_medio,gse_medio_alto,gse_alto
PALENA,ratio docente basica,8.84,8.84,,,8.84,,8.84,10.4,,,10.4,,
PALMILLA,ratio docente basica,8.42,8.42,,,8.42,10.65,8.05,8.42,6.58,9.16,,,
PANGUIPULLI,ratio docente basica,8.58,7.92,9.68,,8.58,17.78,6.89,9.59,6.81,9.93,16.62,,
PANQUEHUE,ratio docente basica,11.29,9.57,,21.63,11.29,12.99,7.05,11.29,15,7.87,10.93,,21.63
PAPUDO,ratio docente basica,16.87,15.03,20.56,,16.87,18.74,13.12,16.87,,15.03,20.56,,
PAREDONES,ratio docente basica,4.75,4.75,,,4.75,12.28,3.38,5.32,2.86,9.01,,,
PARRAL,ratio docente basica,13.3,11.17,18.17,,13.3,17.73,8.47,13.59,10.03,12.8,21.23,18.64,
PEDRO AGUIRRE CERDA,ratio docente basica,17.54,13.81,19.96,,17.54,17.54,,17.54,14.45,15.36,22.21,,
PELARCO,ratio docente basica,9.69,9.33,10.78,,9.69,9.8,9.66,9.69,8.67,10.72,,,
PELLUHUE,ratio docente basica,8.39,8.39,,,8.39,18.2,4.47,10.81,6.12,14.15,13.5,,
PEMUCO,ratio docente basica,8.63,8.63,,,8.63,12.84,8.1,9.08,11.61,7.57,,,
PEÑAFLOR,ratio docente basica,17.88,13.49,20.37,14.2,17.88,18.55,6.78,17.88,11.33,13.19,22.67,22.96,14.2
PEÑALOLÉN,ratio docente basica,16.6,12.63,20.98,13.32,16.6,16.6,,16.84,12.24,17.21,24.23,32.09,13.2
PENCAHUE,ratio docente basica,7.98,7.98,,,7.98,13.41,7.2,8.4,13.2,7.61,4.79,,
PENCO,ratio docente basica,11.94,10.87,13.93,,11.94,12.55,8.5,11.94,8.88,9.38,15.2,16,
PERALILLO,ratio docente basica,11.23,11.23,,,11.23,17.07,8.31,11.23,8.33,11.81,,,
PERQUENCO,ratio docente basica,15.47,11.7,19.25,,15.47,28.07,7.92,15.47,18.31,10.75,,,
PETORCA,ratio docente basica,6.31,4.82,11.25,,6.31,13.87,4.93,6.62,4.36,8.14,6.43,,
PEUMO,ratio docente basica,12.65,8.81,17.77,,12.65,13.64,11.91,12.65,10.57,11.5,15.99,,
PICA,ratio docente basica,17.61,17.61,,,17.61,,17.61,17.61,,12.8,20.02,,
PICHIDEGUA,ratio docente basica,10.02,9.37,17.82,,10.02,13.95,9.3,10.02,8.56,9.14,13.34,,
PICHILEMU,ratio docente basica,11.3,8.85,19.44,,11.3,17.91,7.17,11.3,4.05,9.1,14.79,12.51,
PINTO,ratio docente basica,6.66,5.48,18.48,,6.66,14.29,4.97,7.64,3.8,11.65,7,,
PIRQUE,ratio docente basica,14.51,14.41,,14.66,14.51,14.53,14.47,14.51,,17.61,12.28,,14.66
PITRUFQUÉN,ratio docente basica,11.86,6.68,16.57,,11.86,15.99,7.31,12.61,12.29,9.19,21.14,16.63,
PLACILLA,ratio docente basica,8.6,8.6,,,8.6,9.73,8.42,8.6,9.73,8.76,6.71,,
PORTEZUELO,ratio docente basica,5.47,4.62,10.59,,5.47,11.65,3,5.76,2.14,9.39,,,
PORVENIR,ratio docente basica,19.82,14.94,24.7,,19.82,19.82,,19.82,,,14.94,24.7,
POZO ALMONTE,ratio docente basica,14.57,13.51,24.18,,14.57,,14.57,17.03,13.41,25.33,17.26,18.9,
PRIMAVERA,ratio docente basica,6.75,6.75,,,6.75,,6.75,6.75,,,6.75,,
PROVIDENCIA,ratio docente basica,16.16,21.2,15.05,14.47,16.16,16.16,,17.19,,,19.76,22.08,15.19
PUCHUNCAVÍ,ratio docente basica,12.69,11.92,22.6,,12.69,16.1,9.27,12.69,8.5,14.89,10,,
PUCÓN,ratio docente basica,13.44,9.86,18.54,,13.44,17.83,10.36,13.44,5.74,10.44,15.57,16.14,18.17
PUDAHUEL,ratio docente basica,20.24,15.88,22.57,36.17,20.24,20.39,18.24,20.68,15.37,18.5,22.41,29.37,36.17
PUENTE ALTO,ratio docente basica,20.57,17.46,21.47,18.22,20.57,20.69,16.19,20.82,16.58,18.92,20.28,28.13,21.48
PUERTO MONTT,ratio docente basica,16.73,12.75,23.4,18.44,16.73,21.08,9.26,17.3,10.64,17.33,18.56,26.42,20.77
PUERTO OCTAY,ratio docente basica,8.44,7.77,9.99,,8.44,14.45,6.93,9.26,7.08,9.07,18.77,,
PUERTO VARAS,ratio docente basica,14.74,12.28,21.39,16.81,14.74,18.7,11.4,15.15,15.3,11.89,16.64,14.25,16.81
PUMANQUE,ratio docente basica,3.46,3.46,,,3.46,9.24,2.5,4.62,,4.06,6.3,,
PUNITAQUI,ratio docente basica,8.09,6.65,21.08,,8.09,22.66,4.45,9.7,7.68,14.89,11.96,,
PUNTA ARENAS,ratio docente basica,14.95,11.45,18.48,17.97,14.95,15.17,6.8,15.25,5.89,12.89,14.69,17.1,17.4
PUQUELDÓN,ratio docente basica,5.12,4.48,10.18,,5.12,5.28,5.1,5.12,4.67,3.89,6.07,,
PURÉN,ratio docente basica,8.48,7.19,11.06,,8.48,19.11,6.36,9.81,7.54,17.46,2,,
PURRANQUE,ratio docente basica,12.4,9.27,16.57,,12.4,13.61,10.23,12.84,10.51,12.48,19.42,15.08,
PUTAENDO,ratio docente basica,7.88,6.44,12.69,,7.88,10.33,5.78,8.33,5.02,7.23,12.07,12.56,
PUTRE,ratio docente basica,5.47,5.47,,,5.47,,5.47,5.47,3,9.14,4,5,5
PUYEHUE,ratio docente basica,8.2,8.2,,,8.2,11.2,7.54,8.92,5.47,9.21,9.76,,
QUEILÉN,ratio docente basica,7.34,6.85,12.21,,7.34,9.32,7.14,7.35,5.83,10.77,8.5,,
QUELLÓN,ratio docente basica,7.8,5.41,14.96,,7.8,16.65,4.44,8.53,5.96,9.64,10.31,13.28,
QUEMCHI,ratio docente basica,8.56,7.83,12.25,,8.56,12.29,7.32,8.56,9.38,8.66,7.56,,
QUILACO,ratio docente basica,7.56,7.56,,,7.56,16.11,5.85,8.27,6.88,16.11,5.75,,
QUILICURA,ratio docente basica,26.51,16.1,30.17,29.38,26.51,26.54,25.54,26.51,12.26,22.98,27.44,34.21,29.38
QUILLECO,ratio docente basica,7.46,7.46,,,7.46,11.76,5.85,8.56,7.5,10.52,5,,
QUILLÓN,ratio docente basica,10.06,8.65,16.44,,10.06,13.75,7.96,10.06,5.8,9.24,13.4,,
QUILLOTA,ratio docente basica,19.54,12.22,24.44,21.94,19.54,21.05,7.88,19.97,7.67,13.21,23.86,20.32,21.94
QUILPUÉ,ratio docente basica,15.71,10.41,17.42,19.04,15.71,16.21,4.56,15.9,5.38,12.3,15.65,21.21,19.04
QUINCHAO,ratio docente basica,6.92,6.67,8.04,,6.92,9.94,6.23,6.7,6,8.03,6.56,8.25,
QUINTA DE TILCOCO,ratio docente basica,13.55,9.71,23.13,,13.55,19.79,8.86,13.55,6.35,12.68,25.06,,
QUINTA NORMAL,ratio docente basica,22.06,17.99,24.97,,22.06,22.06,,22.06,,18.26,22.78,23.12,
QUINTERO,ratio docente basica,18.47,13.65,24.25,,18.47,20.82,7.88,18.47,15.4,18.63,18.39,21,
QUIRIHUE,ratio docente basica,7.6,5.87,18,,7.6,11.63,2.23,7.6,3.44,11.07,14.21,,
RANCAGUA,ratio docente basica,18.58,17.95,19.32,16.77,18.58,19.54,11.2,18.76,12.39,19.27,18.85,22.35,16.77
RANQUIL,ratio docente basica,6.49,5.38,14.29,,6.49,12.34,4.54,6.49,4.97,7.4,,,
RAUCO,ratio docente basica,8.28,8.28,,,8.28,9.12,8.11,8.28,6.97,8.93,,,
RECOLETA,ratio docente basica,21.37,14.26,25.62,18.94,21.37,21.37,,21.83,12.91,20.2,24.42,23.46,18.94
RENAICO,ratio docente basica,10.87,9.6,14.69,,10.87,10.87,,10.87,11,10.82,,,
RENCA,ratio docente basica,22.54,21.31,23.23,,22.54,22.54,,22.54,16.83,23.99,22,23.27,
RENGO,ratio docente basica,14.08,12.34,21.38,,14.08,17.59,9.98,14.08,11.43,13.05,15.22,25.05,
REQUÍNOA,ratio docente basica,14.32,13.34,27.49,10.06,14.32,19.35,11.45,14.32,13.25,14.34,16.07,,10.06
RETIRO,ratio docente basica,8.47,7.54,17.31,,8.47,14.13,7.52,8.47,7.11,10.27,,4,
RINCONADA,ratio docente basica,10.91,8.89,16.95,,10.91,10.91,,10.91,,8.89,16.95,,
RÍO BUENO,ratio docente basica,10.69,7.53,16.72,,10.69,17.48,9.12,11.2,8.09,11.07,17.21,19.97,
RÍO CLARO,ratio docente basica,8.6,8.6,,,8.6,13.8,7.44,8.6,8.33,9.07,,,
RÍO HURTADO,ratio docente basica,3.76,3.76,,,3.76,,3.76,5.19,5.66,5.9,2.67,2,
RÍO IBÁÑEZ,ratio docente basica,6.64,6.64,,,6.64,,6.64,6.64,4.43,7.01,7.38,,
RÍO NEGRO,ratio docente basica,13.08,12.2,14.39,,13.08,13.85,10,13.08,10,13.85,,,
RÍO VERDE,ratio docente basica,1.67,1.67,,,1.67,,1.67,,,,,,
ROMERAL,ratio docente basica,9.65,9.17,13.9,,9.65,15.21,7.26,9.65,7.8,8.32,15.47,,
SAAVEDRA,ratio docente basica,9.81,7.49,10.83,,9.81,13.89,9.06,9.64,8.73,11.34,,,
SAGRADA FAMILIA,ratio docente basica,9.94,9.94,,,9.94,12.22,9.37,10.6,,10.6,,,
SALAMANCA,ratio docente basica,11.48,9.13,15.93,,11.48,17.75,7.56,12.06,10.62,13.05,12.79,12.13,
SAN ANTONIO,ratio docente basica,17.59,14.01,20.06,,17.59,18.49,8.56,17.69,13.96,17.91,17.14,23.59,
SAN BERNARDO,ratio docente basica,20.75,15.5,25.54,19.12,20.75,20.75,,20.96,15.68,18.24,24.58,27.01,19.12
SAN CARLOS,ratio docente basica,7.68,5.78,14.19,,7.68,11.02,5.27,8.28,6.04,7.7,15.36,14.34,
SAN CLEMENTE,ratio docente basica,8.68,7.76,17.85,,8.68,15.06,6.96,8.98,7.96,8.85,12.73,,
SAN ESTEBAN,ratio docente basica,6.32,6.32,,,6.32,9.77,3.44,6.32,2.3,6.24,12.57,,
SAN FABIÁN,ratio docente basica,5.02,5.02,,,5.02,11.79,3.67,6.35,,4.53,11.79,,
SAN FELIPE,ratio docente basica,13.78,9.35,21.25,17.35,13.78,15.59,6.52,14.01,6.12,10.91,17.41,22.19,17.35
SAN FERNANDO,ratio docente basica,15.45,10.78,21.28,14.87,15.45,16.82,11.51,15.45,9.78,14.04,18.98,22.09,14.87
SAN GREGORIO,ratio docente basica,4,4,,,4,,4,4,,,,4,
SAN IGNACIO,ratio docente basica,6.35,5.67,15.1,,6.35,11.31,4.99,6.63,5.04,8.48,,,
SAN JAVIER,ratio docente basica,11.94,7.63,24.88,,11.94,21.5,6.64,11.94,7.15,9.86,25.69,40.06,
SAN JOAQUÍN,ratio docente basica,18.91,14.3,22.26,,18.91,18.91,,18.91,,17.52,19.49,26.1,
SAN JOSÉ DE MAIPO,ratio docente basica,12.66,11.72,15.95,,12.66,15.27,11.35,12.66,3.75,14.57,14.06,10.72,
SAN JUAN DE LA COSTA,ratio docente basica,12.18,9.09,15.27,,12.18,,12.18,13.33,13.54,13.07,,,
SAN MIGUEL,ratio docente basica,22.05,23.19,22.15,19.95,22.05,22.05,,23.08,,,22.95,23.17,22.95
SAN NICOLÁS,ratio docente basica,7.32,7.32,,,7.32,13.59,6.42,7.32,6.5,5.95,10.88,,
SAN PABLO,ratio docente basica,7.58,6.74,8.82,,7.58,11.84,6.51,8.39,6.2,9.43,11.24,,
SAN PEDRO,ratio docente basica,9.02,9.02,,,9.02,,9.02,9.02,5.17,9.98,7.13,,
SAN PEDRO DE ATACAMA,ratio docente basica,10.01,10.01,,,10.01,26.14,4.63,10.01,,26.14,5.29,3.98,
SAN PEDRO DE LA PAZ,ratio docente basica,16.69,12.31,18.85,15.77,16.69,16.69,,16.69,11.47,16.26,17.06,20.81,17.68
SAN RAFAEL,ratio docente basica,8.33,7.86,11.2,,8.33,12.94,6.49,8.33,4.39,11.38,7.7,,
SAN RAMÓN,ratio docente basica,17.97,13.8,20.48,,17.97,17.97,,18.3,12.23,16.87,21.52,31.11,
SAN ROSENDO,ratio docente basica,9.64,9.64,,,9.64,13.25,7.83,9.64,8.67,7,13.25,,
SAN VICENTE,ratio docente basica,13.54,10.29,20.98,,13.54,20,8.58,13.89,5.73,12.4,15.55,24.79,
SANTA BÁRBARA,ratio docente basica,11.24,8.57,18.58,,11.24,16.84,9.2,11.58,12.04,10.25,15.05,,
SANTA CRUZ,ratio docente basica,12.15,7.82,25.97,12.43,12.15,19.44,7.1,12.6,6.88,11.66,20,10.47,12.43
SANTA JUANA,ratio docente basica,7.02,4.41,16.58,,7.02,13.28,3.54,8.42,4.87,9.61,19.94,15.87,
SANTA MARÍA,ratio docente basica,10.26,6.3,22.16,,10.26,14.88,5.65,10.26,,10.39,9.89,,
SANTIAGO,ratio docente basica,21.29,18.03,24.9,16.63,21.29,21.29,,21.98,,23.84,23.39,21.85,16.63
SANTO DOMINGO,ratio docente basica,13.17,9.28,22.68,17.5,13.17,21.89,8.82,13.17,,6.53,17.92,13.85,17.5
SIERRA GORDA,ratio docente basica,9.75,9.75,,,9.75,9.75,,9.75,,12.33,7.17,,
TALAGANTE,ratio docente basica,19,15.28,22.53,15.69,19,19.22,12.15,19.51,13.94,18.68,21.72,22.91,15.69
TALCA,ratio docente basica,15.13,10.74,19.57,18.8,15.13,15.67,9.12,15.13,10.12,12.62,17.14,16.84,18.8
TALCAHUANO,ratio docente basica,12.47,9.29,16.74,16.49,12.47,12.64,9.13,12.47,9.43,10.15,11.39,16.74,16.49
TALTAL,ratio docente basica,15.3,15.3,,,15.3,17.2,5.8,15.3,9.9,16.88,21.37,,
TEMUCO,ratio docente basica,16.39,16.2,16.43,16.93,16.39,18.87,7.74,16.61,9.11,22.35,17.31,19.2,17.84
TENO,ratio docente basica,9.15,9.13,9.24,,9.15,11.64,8.71,9.15,7.1,10.18,7.57,,
TEODORO SCHMIDT,ratio docente basica,9.86,6.36,12.67,,9.86,14.49,7.92,12.1,10.83,17.33,15.4,,
TIERRA AMARILLA,ratio docente basica,14.13,13.58,18.5,,14.13,16.59,12.15,13.38,,8.25,18.5,,
TILTIL,ratio docente basica,12.95,9.68,18.82,,12.95,18.19,9.01,12.95,,11.31,13.92,14.6,
TIMAUKEL,ratio docente basica,5.75,5.75,,,5.75,,5.75,4,4,,,,
TIRÚA,ratio docente basica,6.68,5.69,8.53,,6.68,10.54,6.25,7.54,7.28,8.76,,,
TOCOPILLA,ratio docente basica,20.98,19.72,28.57,,20.98,20.98,,20.98,20.57,20.31,18.4,28.57,
TOLTÉN,ratio docente basica,7.09,5.64,9.5,,7.09,9.66,5.92,7.88,6.5,9.3,9.07,,
TOMÉ,ratio docente basica,7.73,6.84,16.03,,7.73,11.87,4.32,8.4,3.24,8.14,9.54,17.98,
TORRES DEL PAINE,ratio docente basica,2.87,2.87,,,2.87,,2.87,3.4,,,,3.4,
TORTEL,ratio docente basica,5.31,5.31,,,5.31,,5.31,5.31,,,5.31,,
TRAIGUÉN,ratio docente basica,13.01,13.23,12.65,,13.01,13.54,11.81,13.01,12.67,10,17.73,14.64,
TREHUACO,ratio docente basica,3.32,3.32,,,3.32,,3.32,4.48,3.21,5.76,,,
TUCAPEL,ratio docente basica,12.73,12,17.1,,12.73,16.74,9.71,14.68,15.25,13.49,17.1,,
VALDIVIA,ratio docente basica,14.8,10.78,18.11,16.25,14.8,16.75,8.48,15.42,8.48,13.39,17.32,18.82,17.59
VALLENAR,ratio docente basica,15.81,14.16,27.76,11.32,15.81,18.21,7.17,15.81,9.62,13.67,16.36,27.76,11.32
VALPARAÍSO,ratio docente basica,14.5,10.06,18.05,14.34,14.5,14.5,,14.54,8.76,12.22,17.8,19.04,14.66
VICHUQUEN,ratio docente basica,5.7,5.7,,,5.7,7.5,5.34,5.7,,5.49,6.13,,
VICTORIA,ratio docente basica,10.24,7.22,16.66,,10.24,14.63,6.8,10.21,8.06,8.15,15.93,17.32,
VICUÑA,ratio docente basica,9.71,6.49,27.97,,9.71,13.95,3.37,10.44,6.51,8.65,17.24,,
VILCÚN,ratio docente basica,11.33,9.35,12.38,,11.33,14.76,9.81,11.33,10.23,10.04,15.83,19.81,
VILLA ALEGRE,ratio docente basica,10.09,10.09,,,10.09,13.18,9.78,10.09,9.69,10.42,,,
VILLA ALEMANA,ratio docente basica,17.37,12.68,19.37,18.65,17.37,17.49,12.67,17.37,8.21,15.11,16.86,22.37,18.65
VILLARRICA,ratio docente basica,11.78,8.6,13.15,11.66,11.78,13.01,10.72,12.32,10.15,11.77,14.29,16.82,11.66
VIÑA DEL MAR,ratio docente basica,14.66,9.85,19.65,11.88,14.66,14.66,,14.75,9.88,14.11,15.56,18.76,12.03
VITACURA,ratio docente basica,13.59,14.46,16.72,13.27,13.59,13.59,,13.59,,,,15.21,13.27
YERBAS BUENAS,ratio docente basica,8.57,8.04,13.88,,8.57,11.5,8.27,10.11,5.89,10.64,,,
YUMBEL,ratio docente basica,11.94,8.81,20.28,,11.94,16.02,7.04,11.94,8.72,12.23,15.83,,
YUNGAY,ratio docente basica,11.94,9.54,16.14,,11.94,15.59,8.9,11.94,6.6,10.92,19.18,14.26,
ZAPALLAR,ratio docente basica,13.5,12.73,16.59,,13.5,14.24,12.39,13.5,,14.3,10.48,14.24,
TODAS,ratio docente basica,14.34,10.56,19.22,15.83,14.34,17.97,7.87,14.87,9.36,13.93,18.15,20.64,16.21
ALGARROBO,ratio docente media,19.28,17.33,20.25,,19.28,19.28,,19.28,,,20.17,17.5,
ALHUÉ,ratio docente media,14.1,14.1,,,14.1,14.1,,14.1,,,14.1,,
ALTO BIOBÍO,ratio docente media,12.86,12.86,,,12.86,,12.86,12.86,12.86,,,,
ALTO DEL CARMEN,ratio docente media,17,17,,,17,,17,17,,17,,,
ALTO HOSPICIO,ratio docente media,22.16,16.24,22.95,,22.16,22.18,22.08,22.16,24.38,21.95,22.25,,
ANCUD,ratio docente media,11.73,8.62,13.59,,11.73,11.73,,12.83,6.54,17.75,9.1,7.5,13.44
ANDACOLLO,ratio docente media,14.99,10.59,19.38,,14.99,14.99,,14.99,,10.59,19.38,,
ANGOL,ratio docente media,16.85,16.24,17.74,11.6,16.85,17.56,9.14,16.85,13.08,,23.87,14.88,11.6
ANTOFAGASTA,ratio docente media,19.52,17.19,22.61,15.69,19.52,19.52,,19.75,21.32,21.29,21.36,20.64,16.31
ANTUCO,ratio docente media,12.59,12.59,,,12.59,12.59,,12.59,,,12.59,,
ARAUCO,ratio docente media,12.54,10.25,16.55,7.4,12.54,13.06,9.45,12.54,10.65,9.45,18.92,11.82,7.4
ARICA,ratio docente media,17.43,14.04,18.88,18.29,17.43,17.65,13.77,17.74,13.65,16.18,20.17,17.38,18.29
AYSÉN,ratio docente media,11.44,8.29,14.59,,11.44,12.65,3,11.44,12,7.06,14.52,14.66,
BUIN,ratio docente media,15.74,15.35,22.06,12.87,15.74,15.74,,15.74,15.84,18.58,18.92,17.25,12.87
BULNES,ratio docente media,14.81,10.89,16.78,,14.81,14.81,,14.81,11.71,12.1,17.79,,
CABILDO,ratio docente media,14.62,14.19,15.05,,14.62,14.62,,14.62,10,17.23,,14,
CABO DE HORNOS,ratio docente media,8.73,8.73,,,8.73,8.73,,8.73,,,,8.73,
CABRERO,ratio docente media,17.77,16.26,20.02,,17.77,16.16,24.2,17.77,12.3,23.85,16.54,,
CALAMA,ratio docente media,20.05,17.79,24.34,13.37,20.05,20.05,,20.09,,20.85,20.93,23.55,13.37
CALBUCO,ratio docente media,14.7,12.95,23.47,,14.7,17.42,9.25,14.7,12.13,12.25,19.78,,
CALDERA,ratio docente media,24.23,14.74,28.97,,24.23,24.23,,28.97,,,18.19,39.75,
CALERA,ratio docente media,17.25,9.54,19.24,18.7,17.25,17.25,,17.25,15.85,15.15,17.21,22.93,18.7
CALERA DE TANGO,ratio docente media,15.35,16.94,17.11,14.08,15.35,15.57,15.19,15.35,,15.47,20.22,,14.08
CALLE LARGA,ratio docente media,10.71,9.54,8.23,14.38,10.71,10.71,,10.71,9.54,8.23,,,14.38
CAMARONES,ratio docente media,3.5,3.5,,,3.5,,3.5,3.5,,,,3.5,
CAMIÑA,ratio docente media,6.58,6.58,,,6.58,,6.58,6.58,6.58,,,,
CANELA,ratio docente media,16.2,16.2,,,16.2,16.2,,16.2,16.2,,,,
CAÑETE,ratio docente media,13.84,10.58,17.09,,13.84,13.84,,13.84,13.22,10.08,,18.21,
CARAHUE,ratio docente media,12.75,11.64,14.42,,12.75,12.75,,12.75,12.86,,12.59,,
CARTAGENA,ratio docente media,16.61,11.78,19.83,,16.61,16.61,,16.61,8.15,15.4,19.83,,
CASABLANCA,ratio docente media,12.52,11.82,13.63,8.33,12.52,12.52,,12.52,10.98,,14.4,8.83,8.33
CASTRO,ratio docente media,12.07,13.68,10.46,,12.07,12.74,8.75,12.81,11.11,11.95,16.14,14.57,11.11
CATEMU,ratio docente media,12.23,12.23,12.23,,12.23,12.23,,12.23,,12.23,,,
CAUQUENES,ratio docente media,15.11,14.53,16.27,,15.11,15.11,,15.11,10.78,15.78,,16.27,
CERRILLOS,ratio docente media,18.84,7.79,20.42,,18.84,18.84,,18.84,18.54,11.52,24.86,21.07,
CERRO NAVIA,ratio docente media,20.54,12.16,24.73,,20.54,20.54,,20.54,16.97,18.64,26,,
CHAITÉN,ratio docente media,13.18,13.18,,,13.18,,13.18,13.18,,15.67,10.69,,
CHAÑARAL,ratio docente media,14.42,17,11.83,,14.42,14.42,,11.83,,,11.83,,
CHANCO,ratio docente media,9.06,9.06,,,9.06,9.06,,9.06,9.06,,,,
CHÉPICA,ratio docente media,15.39,15.39,,,15.39,15.39,,15.39,15.39,,,,
CHIGUAYANTE,ratio docente media,13.55,8.55,16.02,10.34,13.55,13.55,,13.55,,10.34,17.32,17.44,11.53
CHILE CHICO,ratio docente media,11.45,11.45,,,11.45,,11.45,11.45,,11.45,,,
CHILLÁN,ratio docente media,14.12,9.61,15.36,7.88,14.12,13.83,25.7,14.12,12.99,12.36,17.14,14.88,11.48
CHILLÁN VIEJO,ratio docente media,9.9,7.82,11.97,,9.9,9.9,,9.9,8.6,11.19,,,
CHIMBARONGO,ratio docente media,13.76,12.81,13.99,,13.76,15.49,11.17,13.76,11.35,14.22,17.64,,
CHOLCHOL,ratio docente media,12.72,22.75,10.22,,12.72,12.72,,12.72,9.52,18.63,7.33,,
CHONCHI,ratio docente media,14.99,15.74,14.24,,14.99,14.99,,14.99,14.24,15.74,,,
CISNES,ratio docente media,8.31,8.31,,,8.31,8.52,8.09,8.31,,8.31,,,
COBQUECURA,ratio docente media,7.56,7.56,,,7.56,7.56,,7.56,7.56,,,,
COCHAMÓ,ratio docente media,10.28,10.28,,,10.28,,10.28,10.28,,10,10.56,,
COCHRANE,ratio docente media,9.58,9.58,,,9.58,,9.58,9.58,,9.58,,,
CODEGUA,ratio docente media,9.42,10.45,8.4,,9.42,9.42,,9.42,9.42,,,,
COELEMU,ratio docente media,11.33,11.68,10.62,,11.33,11.55,10.89,11.33,,12.48,10.89,10.62,
COIHUECO,ratio docente media,10.69,12.4,10.13,,10.69,10.69,,10.69,12.4,10.69,9,,
COINCO,ratio docente media,12.5,12.5,,,12.5,12.5,,12.5,,12.5,,,
COLBÚN,ratio docente media,11.96,11.96,,,11.96,11.96,,11.96,11.96,,,,
COLCHANE,ratio docente media,6.6,6.6,,,6.6,,6.6,6.6,6.6,,,,
COLINA,ratio docente media,18,24.95,24.47,11.76,18,17.46,25.25,18,24.9,25.06,24.72,23.23,11.76
COLLIPULLI,ratio docente media,18.11,17.58,18.65,,18.11,18.11,,18.11,17.58,,18.65,,
COLTAUCO,ratio docente media,15.53,10.5,17.21,,15.53,15.75,14.89,15.53,12.69,,18.37,,
COMBARBALÁ,ratio docente media,10.64,12.14,9.14,,10.64,10.64,,10.64,,10.64,,,
CONCEPCIÓN,ratio docente media,13.83,9.73,16.01,14.53,13.83,13.83,,13.83,11.3,10.3,14.13,15.43,14.93
CONCHALÍ,ratio docente media,20.8,16.38,24.34,,20.8,20.8,,20.8,,23.43,20.11,19.69,
CONCÓN,ratio docente media,11.85,9.11,14.2,9.02,11.85,11.85,,11.85,,9.11,16.07,10.44,9.02
CONSTITUCIÓN,ratio docente media,15.66,11,19.46,10.6,15.66,15.76,15.46,15.66,14.98,17.29,16.71,14.5,10.6
CONTULMO,ratio docente media,11.9,11.9,,,11.9,11.9,,11.9,11.9,,,,
COPIAPÓ,ratio docente media,19.5,15.86,21.03,21.82,19.5,19.5,,21.32,,20.57,20.79,21.68,21.82
COQUIMBO,ratio docente media,17.5,15.26,17.38,23.29,17.5,17.56,15,17.81,14.86,16.63,17.54,18.29,23.29
CORONEL,ratio docente media,13.7,13.27,13.96,,13.7,13.9,10.82,13.7,10.96,13.68,15.87,14.54,13.11
CORRAL,ratio docente media,13.05,13.05,,,13.05,13.05,,13.05,13.05,,,,
COYHAIQUE,ratio docente media,13.2,9.86,14.31,,13.2,13.2,,13.2,10.27,,14.1,15.71,15.38
CUNCO,ratio docente media,11.16,12.57,9.75,,11.16,11.16,,11.16,8.93,12.63,14.13,,
CURACAUTÍN,ratio docente media,13.92,13.98,13.86,,13.92,13.92,,13.92,13.86,,13.98,,
CURACAVÍ,ratio docente media,18.78,17.25,21.49,9.44,18.78,18.78,,18.78,,17.25,18.75,29.71,9.44
CURACO DE VÉLEZ,ratio docente media,12.76,12.76,,,12.76,12.76,,12.76,,,12.76,,
CURANILAHUE,ratio docente media,11.44,10.86,11.64,,11.44,11.44,,11.44,11.86,10.86,12.8,10.25,
CURARREHUE,ratio docente media,8.5,8.5,,,8.5,8.5,,8.5,,8.5,,,
CUREPTO,ratio docente media,6.94,6.94,,,6.94,8.56,5.33,6.94,6.94,,,,
CURICÓ,ratio docente media,15.53,9.44,17.89,11.12,15.53,15.46,16.58,15.53,14.19,13.34,16.35,22.03,11.12
DALCAHUE,ratio docente media,18.07,18.07,,,18.07,18.07,,18.07,18.07,,,,
DIEGO DE ALMAGRO,ratio docente media,13.88,13.76,14,,13.88,13.88,,13.88,,13.76,14,,
DOÑIHUE,ratio docente media,12.89,12.3,13.18,,12.89,12.89,,12.89,12.3,,13.18,,
EL BOSQUE,ratio docente media,20.1,10.6,22.26,16.29,20.1,20.1,,20.1,10.63,20.35,21.77,20.99,16.29
EL CARMEN,ratio docente media,11.17,11.17,,,11.17,11.17,,11.17,11.17,,,,
EL MONTE,ratio docente media,12.8,12.73,12.84,,12.8,12.07,15.7,12.8,,12.08,15.67,,
EL QUISCO,ratio docente media,14.37,12.9,15.83,,14.37,14.37,,14.37,,12.9,15.83,,
EL TABO,ratio docente media,12.67,12.67,,,12.67,12.67,,12.67,,12.67,,,
EMPEDRADO,ratio docente media,10.21,10.21,,,10.21,10.21,,10.21,,10.21,,,
ERCILLA,ratio docente media,9.91,9.91,,,9.91,9.91,,9.91,,9.91,,,
ESTACIÓN CENTRAL,ratio docente media,19.27,13.28,20.73,16.86,19.27,19.27,,19.88,,13.38,20.4,23.54,16.86
FLORIDA,ratio docente media,8.6,8.6,,,8.6,9.27,7.25,8.6,9.31,8.24,,,
FREIRE,ratio docente media,13.05,8.59,15.27,,13.05,14.22,10.69,13.05,9.64,,19.86,,
FREIRINA,ratio docente media,16.76,16.76,,,16.76,16.76,,16.76,,16.76,,,
FRESIA,ratio docente media,13.58,12.74,14.41,,13.58,13.58,,13.58,12.74,14.41,,,
